benchmark,solver,configuration,solver time,status,result,verifier time,verifier result
sat/a_rphp065_04.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,2551.975176,complete,UNSAT,1066.904909,DRATmemout
sat/gto_p60c231_1.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,450.6559751,complete,UNSAT,463.4773831,UNSAT-VERIFIED
sat/gto_p60c233.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,976.0019071,complete,UNSAT,1028.807208,UNSAT-VERIFIED
sat/gto_p60c234.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,1270.077771,complete,UNSAT,1282.772371,UNSAT-VERIFIED
sat/gto_p60c235.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,2282.423739,complete,UNSAT,2094.220788,UNSAT-VERIFIED
sat/gto_p60c238.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,2397.615571,complete,UNSAT,2296.755285,UNSAT-VERIFIED
sat/gto_p60c239.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,543.9182849,complete,UNSAT,657.9924009,UNSAT-VERIFIED
sat/gto_p60c241.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,981.7724531,complete,UNSAT,907.032342,UNSAT-VERIFIED
sat/gto_p60c243.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,2228.812162,complete,UNSAT,1944.728955,UNSAT-VERIFIED
sat/prime_200560490131.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,278.173198,complete,UNSAT,739.3334341,UNSAT-VERIFIED
sat/ecarev-110-1031-23-40-3.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,237.629566,complete,UNSAT,37.00860405,UNSAT-VERIFIED
sat/assoc_mult_err_3.c.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,174.194747,complete,UNSAT,805.5618091,UNSAT-VERIFIED
sat/e_rphp065_04.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,1565.70922,complete,UNSAT,934.489001,DRATmemout
sat/dist10.c.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,548.2343481,complete,UNSAT,1000.326168,DRATmemout
sat/gto_p60c231.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,458.4782119,complete,UNSAT,455.330498,UNSAT-VERIFIED
sat/dist8.c.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,682.805989,complete,UNSAT,1269.166124,DRATmemout
sat/dist9.c.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,798.584636,complete,UNSAT,1031.331745,DRATmemout
sat/quadratic_loose_error.c.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,1976.943989,complete,UNSAT,366.605978,UNSAT-VERIFIED
sat/quadratic_tight_error.c.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,1922.396718,complete,UNSAT,837.708056,UNSAT-VERIFIED
sat/dist4.c.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,914.9317911,complete,UNSAT,1034.406846,DRATmemout
sat/dist5.c.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,1041.152114,complete,UNSAT,1128.063989,DRATmemout
sat/dist6.c.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,701.876158,complete,UNSAT,1107.932745,DRATmemout
sat/dist7.c.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,1120.87713,complete,UNSAT,1010.39006,DRATmemout
sat/prime_119218851371.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,262.1822698,complete,UNSAT,697.903095,UNSAT-VERIFIED
sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,3.980556965,complete,UNSAT,2.551512957,UNSAT-VERIFIED
sat/Nb37T6.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,1967.592496,complete,UNSAT,590.4166791,UNSAT-VERIFIED
sat/Nb39T6.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,1673.992218,complete,UNSAT,493.0390871,UNSAT-VERIFIED
sat/cms-scheel-md5-families-r24-c5-p6-11-15-16-19.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,2167.652053,complete,UNSAT,750.5165491,UNSAT-VERIFIED
sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,745.4273698,complete,UNSAT,336.3829081,UNSAT-VERIFIED
sat/cms-scheel-md4-families-r24-c5-p1-5-10-12-18.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,3410.168757,memout,UNSAT,1635.901443,UNSAT-VERIFIED
sat/sdiv15prop.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,1749.664638,complete,UNSAT,1373.604083,UNSAT-VERIFIED
sat/sdiv16prop.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,4410.845845,complete,UNSAT,3341.999482,UNSAT-VERIFIED
sat/e_rphp055_04.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,560.186578,complete,UNSAT,753.9813421,UNSAT-VERIFIED
sat/ae_rphp055_04.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,691.4044931,complete,UNSAT,847.4100518,UNSAT-VERIFIED
sat/Nb54T6.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,5000.80204,timeout(cpu),UNSAT,1195.149305,UNSAT-VERIFIED
sat/Nb52T6.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,4144.860179,complete,UNSAT,987.930676,UNSAT-VERIFIED
sat/Nb51T6.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,3693.021864,complete,UNSAT,991.1035581,UNSAT-VERIFIED
sat/Nb45T6.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,2706.071983,complete,UNSAT,806.1870711,UNSAT-VERIFIED
sat/Nb44T6.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,3139.057465,complete,UNSAT,625.4903572,UNSAT-VERIFIED
sat/Nb42T6.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,3574.214888,complete,UNSAT,876.2763441,UNSAT-VERIFIED
sat/Problem14_label55_true-unreach-call.c.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,56.72747111,complete,UNSAT,165.2881329,UNSAT-VERIFIED
sat/Problem14_label48_true-unreach-call.c.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,170.7413158,complete,UNSAT,294.5590892,UNSAT-VERIFIED
sat/Problem14_label20_true-unreach-call.c.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,35.82284021,complete,UNSAT,120.852073,UNSAT-VERIFIED
sat/Problem14_label19_true-unreach-call.c.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,57.11860609,complete,UNSAT,201.172189,UNSAT-VERIFIED
sat/terminator_03_true-unreach-call_true-termination.i.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,618.2413909,complete,UNSAT,108.509438,UNSAT-VERIFIED
sat/queen8_12.col.12.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,4640.627974,complete,UNSAT,2269.78286,UNSAT-VERIFIED
sat/huck.col.11.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,266.6596959,complete,UNSAT,312.664681,UNSAT-VERIFIED
sat/queen12_12.col.12.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,1994.000781,complete,UNSAT,516.452595,UNSAT-VERIFIED
sat/Nb27T6.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,759.9918239,complete,UNSAT,300.947499,UNSAT-VERIFIED
sat/Nb29T6.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,1265.526353,complete,UNSAT,417.5030479,UNSAT-VERIFIED
sat/pals_lcr-var-start-time.5_true-unreach-call.ufo.UNBOUNDED.pals.c.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,479.229203,complete,UNSAT,1359.427706,UNSAT-VERIFIED
sat/pals_lcr-var-start-time.6_true-unreach-call.ufo.UNBOUNDED.pals.c.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,3823.884733,complete,UNSAT,6630.044947,DRATmemout
sat/filter1_true-unreach-call.c.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,568.711082,complete,UNSAT,72.69419003,UNSAT-VERIFIED
sat/filter_iir_true-unreach-call.c.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,689.0817249,complete,UNSAT,81.30279613,UNSAT-VERIFIED
sat/newton_3_4_true-unreach-call.i.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,542.0874438,complete,UNSAT,81.95894504,UNSAT-VERIFIED
sat/pals_lcr.8_overflow_false-unreach-call.ufo.UNBOUNDED.pals.c.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,2172.969881,complete,UNSAT,4058.478303,UNSAT-VERIFIED
sat/a_rphp055_04.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,1042.875405,complete,UNSAT,1046.086366,UNSAT-VERIFIED
sat/T92.2.0.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,366.631994,complete,UNSAT,221.980927,UNSAT-VERIFIED
sat/T90.2.0.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,345.9269421,complete,UNSAT,233.193136,UNSAT-VERIFIED
sat/T87.2.0.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,481.03229,complete,UNSAT,228.6509221,UNSAT-VERIFIED
sat/T86.2.0.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,555.360621,complete,UNSAT,256.364152,UNSAT-VERIFIED
sat/T84.2.0.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,401.0929489,complete,UNSAT,232.0422189,UNSAT-VERIFIED
sat/T82.2.0.cnf.bz2,Minisat-v2.2.0-106-ge2dd095,simp_proof,288.3508999,complete,UNSAT,221.543133,UNSAT-VERIFIED
